       Radius (kpc)   Tb (K)          Tb-sigma T       Tb+sigma T
       3.9641852       6.0596390       1.1139159      11.0053616
       3.9691851       8.4488106       1.9950957      14.9025249
       3.9741852      11.0951090       3.4711180      18.7191010
       3.9791851      13.2986746       5.2245922      21.3727570
       3.9841852      14.4668512       6.5662642      22.3674393
       3.9891851      14.3841591       6.7801871      21.9881306
       3.9941852      13.1269064       5.6590619      20.5947514
       3.9991851      11.0753517       4.0270667      18.1236362
       4.0041852       9.0078735       3.0958853      14.9198618
       4.0091848       7.5088425       3.0929189      11.9247665
       4.0141850       6.5125442       3.2151599       9.8099289
       4.0191851       5.8505301       2.7763610       8.9246998
       4.0241852       5.6741233       2.0749919       9.2732544
       4.0291853       5.9624476       1.8736863      10.0512085
       4.0341854       6.2073622       2.1822729      10.2324514
       4.0391850       5.9486632       2.4121277       9.4851990
       4.0441852       5.2790370       2.3911333       8.1669407
       4.0491848       4.7225056       2.4885187       6.9564924
       4.0541849       4.6719408       2.6882470       6.6556349
       4.0591850       4.9935217       2.6620631       7.3249803
