recno,Name,OName,RAJ2000,DEJ2000,plx,e_plx,pmX,e_pmX,pmY,e_pmY,VLSR,e_VLSR,Arm,Ref,SimbadName,dec,ra
112,G045.80-00.35,,19 16 31.0795,+11 16 11.985,0.137,0.023,-2.52,0.17,-6.08,0.27,64,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G045.80-00.35,11.269995833333333,289.1294979166667
113,G048.60+00.02,,19 20 31.1760,+13 55 25.210,0.093,0.005,-2.89,0.13,-5.5,0.13,18,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G048.60+00.02,13.923669444444444,290.1299
114,G048.99-00.29,,19 22 26.1348,+14 06 39.133,0.178,0.017,-2.2,0.48,-5.84,0.63,67,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G048.99-00.29,14.110870277777778,290.60889499999996
115,G049.04-01.07,,19 25 22.2504,+13 47 19.525,0.164,0.022,-3.23,0.23,-6.42,0.43,38,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G049.04-01.07,13.788756944444444,291.34271
116,G049.19-00.33,,19 22 57.7705,+14 16 09.983,0.197,0.008,-3.08,0.4,-5.5,0.4,67,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G049.19-00.33,14.269439722222222,290.7407104166667
118,G049.34+00.41,,19 20 32.4472,+14 45 45.390,0.241,0.031,-2.36,0.26,-5.59,0.33,68,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G049.34+00.41,14.762608333333334,290.13519666666673
121,G049.48-00.38,W51M,19 23 43.8700,+14 30 29.500,0.185,0.01,-2.64,0.2,-5.11,0.2,58,4,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G049.48-00.38,14.508194444444445,290.9327916666667
122,G049.59-00.24,,19 23 26.6068,+14 40 16.955,0.218,0.009,-2.25,0.24,-6.12,0.25,63,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G049.59-00.24,14.671376388888891,290.8608616666667
123,G052.10+01.04,,19 23 37.3212,+17 29 10.437,0.165,0.013,-2.77,1.4,-5.85,1.4,42,40,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G052.10+01.04,17.4862325,290.90550500000006
124,G054.10-00.08,,19 31 48.7978,+18 42 57.096,0.231,0.031,-3.13,0.58,-5.57,0.61,40,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G054.10-00.08,18.71586,292.9533241666667
